org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375171,0.420501,0.1423,0.8976,0.302,65.93,68.6,0.0405
DS,INCLUDED,0.7393,0.2441,0.993737,0.672069,0.8347,0.698,0.8336,75.22,76.76,0.0205
GDM,INCLUDED,0.832,0.3273,0.753628,1.0,0.5134,0.79,0.7405,77.02,79.01,0.0258
KIMI,INCLUDED,0.769,0.025,0.810846,0.093373,0.172,0.707,0.3471,56.3,57.14,0.0148
MAI,INCLUDED,0.7493,0.1847,0.782943,0.337805,0.2495,0.7022,0.4438,59.89,61.17,0.0214
MIST,SHADOW,0.5593,0.1166,0.747086,0.461127,0.1723,0.5224,0.4422,49.03,49.46,0.0087
MM,INCLUDED,0.588,0.0,0.673802,0.248229,0.5326,0.539,0.4879,51.86,52.8,0.0182
OAI,INCLUDED,0.9291,0.2357,0.348016,0.873364,0.2278,0.8713,0.4671,70.96,73.06,0.0297
QWEN,INCLUDED,0.7547,1.0,0.87357,0.515478,0.2045,0.7751,0.5108,66.94,68.02,0.0162
XAI,INCLUDED,0.8187,0.0,0.696762,0.008434,0.2079,0.7505,0.2984,56.96,57.85,0.0155
YI,SHADOW,0.7294,0.0,0.629331,0.008434,0.0295,0.6687,0.2104,48.53,48.74,0.0043
ZAI,INCLUDED,0.7424,0.0,0.799137,0.459392,0.5049,0.6805,0.5826,64.14,65.13,0.0155
