ts,org,membership,capability_merged,ecosystem_merged,fa_raw,fa_adj
20260908_0233,MAI,INCLUDED,0.7022,0.4454,59.95,61.28
20260908_0233,MIST,SHADOW,0.5224,0.4446,49.13,49.57
20260908_0233,MM,INCLUDED,0.539,0.4893,51.92,52.89
20260908_0233,OAI,INCLUDED,0.8725,0.48,71.55,73.74
20260908_0233,QWEN,INCLUDED,0.7751,0.5117,66.98,68.1
20260908_0233,XAI,INCLUDED,0.7505,0.2996,57.01,57.93
20260908_0233,YI,SHADOW,0.6687,0.2105,48.54,48.76
20260908_0233,ZAI,INCLUDED,0.6805,0.5838,64.18,65.21
20260909_0233,ANTH,INCLUDED,0.8976,0.302,65.94,68.74
20260909_0233,DS,INCLUDED,0.698,0.8337,75.23,76.85
20260909_0233,GDM,INCLUDED,0.79,0.7411,77.04,79.13
20260909_0233,KIMI,INCLUDED,0.707,0.3472,56.31,57.18
20260909_0233,MAI,INCLUDED,0.7022,0.4444,59.91,61.26
20260909_0233,MIST,SHADOW,0.5224,0.4452,49.15,49.6
20260909_0233,MM,INCLUDED,0.539,0.4879,51.86,52.85
20260909_0233,OAI,INCLUDED,0.8725,0.4795,71.53,73.76
20260909_0233,QWEN,INCLUDED,0.7751,0.5108,66.94,68.08
20260909_0233,XAI,INCLUDED,0.7505,0.2985,56.97,57.9
20260909_0233,YI,SHADOW,0.6687,0.2106,48.54,48.76
20260909_0233,ZAI,INCLUDED,0.6805,0.5828,64.14,65.19
20260910_0232,ANTH,INCLUDED,0.8976,0.302,65.94,68.78
20260910_0232,DS,INCLUDED,0.7142,0.8337,76.2,78.07
20260910_0232,GDM,INCLUDED,0.7684,0.7387,75.65,77.73
20260910_0232,KIMI,INCLUDED,0.6678,0.345,53.87,54.72
20260910_0232,MAI,INCLUDED,0.6894,0.4427,59.07,60.42
20260910_0232,MIST,SHADOW,0.477,0.4386,46.16,46.59
20260910_0232,MM,INCLUDED,0.4947,0.4851,49.08,50.04
20260910_0232,OAI,INCLUDED,0.8629,0.479,70.94,72.99
20260910_0232,QWEN,INCLUDED,0.7751,0.5554,68.72,69.91
20260910_0232,XAI,INCLUDED,0.7024,0.2963,54.0,54.89
20260910_0232,YI,SHADOW,0.6687,0.2106,48.54,48.76
20260910_0232,ZAI,INCLUDED,0.6536,0.5814,62.47,63.51
20260911_0233,ANTH,INCLUDED,0.8976,0.3022,65.94,68.83
20260911_0233,DS,INCLUDED,0.7142,0.837,76.34,78.23
20260911_0233,GDM,INCLUDED,0.7684,0.7409,75.74,77.85
20260911_0233,KIMI,INCLUDED,0.6678,0.3461,53.91,54.77
20260911_0233,MAI,INCLUDED,0.6894,0.4448,59.16,60.53
20260911_0233,MIST,SHADOW,0.477,0.4415,46.28,46.71
20260911_0233,MM,INCLUDED,0.4947,0.4833,49.01,49.98
20260911_0233,OAI,INCLUDED,0.8629,0.4793,70.95,73.03
20260911_0233,QWEN,INCLUDED,0.7751,0.5583,68.84,70.04
20260911_0233,XAI,INCLUDED,0.7024,0.2974,54.04,54.95
20260911_0233,YI,SHADOW,0.6687,0.2107,48.55,48.77
20260911_0233,ZAI,INCLUDED,0.6536,0.5831,62.54,63.59
20260912_0233,ANTH,INCLUDED,0.8976,0.302,65.94,68.85
20260912_0233,DS,INCLUDED,0.7142,0.8337,76.2,78.12
20260912_0233,GDM,INCLUDED,0.7684,0.7387,75.65,77.79
20260912_0233,KIMI,INCLUDED,0.6678,0.3523,54.16,55.03
20260912_0233,MAI,INCLUDED,0.6894,0.4432,59.09,60.48
20260912_0233,MIST,SHADOW,0.477,0.4411,46.26,46.71
20260912_0233,MM,INCLUDED,0.4947,0.4863,49.13,50.11
20260912_0233,OAI,INCLUDED,0.8629,0.4791,70.94,73.04
20260912_0233,QWEN,INCLUDED,0.7751,0.5554,68.72,69.94
20260912_0233,XAI,INCLUDED,0.7024,0.2962,53.99,54.91
20260912_0233,YI,SHADOW,0.6687,0.2108,48.55,48.78
