org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375182,0.420501,0.1423,0.8976,0.302,65.93,68.65,0.0412
DS,INCLUDED,0.7393,0.2441,0.993824,0.672069,0.8347,0.698,0.8336,75.22,76.79,0.0208
GDM,INCLUDED,0.832,0.3273,0.753285,1.0,0.5134,0.79,0.7404,77.01,79.04,0.0263
KIMI,INCLUDED,0.769,0.025,0.810656,0.093373,0.172,0.707,0.347,56.3,57.15,0.015
MAI,INCLUDED,0.7493,0.1847,0.783692,0.337805,0.2495,0.7022,0.444,59.89,61.2,0.0218
MIST,SHADOW,0.5593,0.1166,0.748792,0.461127,0.1723,0.5224,0.4427,49.05,49.49,0.0089
MM,INCLUDED,0.588,0.0,0.673905,0.248229,0.5326,0.539,0.4879,51.86,52.82,0.0185
OAI,INCLUDED,0.9291,0.2357,0.348017,0.873364,0.2609,0.8713,0.4795,71.46,73.61,0.0302
QWEN,INCLUDED,0.7547,1.0,0.873584,0.515478,0.2045,0.7751,0.5108,66.94,68.04,0.0165
XAI,INCLUDED,0.8187,0.0,0.697508,0.008434,0.2079,0.7505,0.2986,56.97,57.87,0.0158
YI,SHADOW,0.7294,0.0,0.62964,0.008434,0.0295,0.6687,0.2105,48.54,48.75,0.0044
ZAI,INCLUDED,0.7424,0.0,0.799211,0.459392,0.5049,0.6805,0.5827,64.14,65.15,0.0158
