org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375113,0.420501,0.114,0.8976,0.2914,65.51,67.95,0.0372
DS,INCLUDED,0.739,0.3025,1.0,0.672069,0.9,0.7027,0.86,76.56,77.53,0.0127
GDM,INCLUDED,0.8777,0.3241,0.752883,1.0,0.3667,0.8315,0.6853,77.3,79.14,0.0238
KIMI,INCLUDED,0.8399,0.0557,0.808374,0.093373,0.1249,0.7745,0.3286,59.62,60.61,0.0166
MAI,INCLUDED,0.7746,0.1803,0.771862,0.337805,0.1578,0.7251,0.4059,59.74,60.74,0.0166
MIST,SHADOW,0.6202,0.208,0.743375,0.461127,0.1175,0.5858,0.4205,51.97,52.38,0.008
MM,INCLUDED,0.6646,0.0,0.671389,0.248229,0.3651,0.6092,0.4243,53.53,54.42,0.0168
OAI,INCLUDED,0.8904,0.2845,0.347999,0.873364,0.2522,0.8399,0.4762,69.45,71.22,0.0255
QWEN,INCLUDED,0.7931,1.0,0.871805,0.515478,0.2031,0.8104,0.5097,69.01,69.83,0.0118
XAI,INCLUDED,0.9059,0.0,0.695709,0.008434,0.138,0.8304,0.2718,60.7,62.27,0.0259
YI,SHADOW,0.7294,0.0,0.628028,0.008434,0.0295,0.6686,0.21,48.51,48.71,0.0039
ZAI,INCLUDED,0.8288,0.0,0.797857,0.459392,0.422,0.7597,0.5511,67.63,68.96,0.0197
