org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375259,0.420501,0.1429,0.8976,0.3022,65.94,68.83,0.0437
DS,INCLUDED,0.7393,0.4388,0.994148,0.672069,0.8436,0.7142,0.837,76.34,78.23,0.0248
GDM,INCLUDED,0.7946,0.4802,0.752883,1.0,0.515,0.7684,0.7409,75.74,77.85,0.0279
KIMI,INCLUDED,0.7213,0.0797,0.812575,0.093373,0.1679,0.6678,0.3461,53.91,54.77,0.0159
MAI,INCLUDED,0.7172,0.3839,0.785707,0.337805,0.2498,0.6894,0.4448,59.16,60.53,0.0231
MIST,SHADOW,0.4974,0.2518,0.761743,0.461127,0.1582,0.477,0.4415,46.28,46.71,0.0094
MM,INCLUDED,0.5397,0.0,0.674425,0.248229,0.52,0.4947,0.4833,49.01,49.98,0.0197
OAI,INCLUDED,0.9157,0.2829,0.348034,0.873364,0.2602,0.8629,0.4793,70.95,73.03,0.0293
QWEN,INCLUDED,0.7547,1.0,0.873618,0.515478,0.3312,0.7751,0.5583,68.84,70.04,0.0175
XAI,INCLUDED,0.7663,0.0,0.696916,0.008434,0.2053,0.7024,0.2974,54.04,54.95,0.0167
YI,SHADOW,0.7294,0.0,0.630331,0.008434,0.0295,0.6687,0.2107,48.55,48.77,0.0046
ZAI,INCLUDED,0.713,0.0,0.799747,0.459392,0.5057,0.6536,0.5831,62.54,63.59,0.0168
