org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375233,0.420501,0.1423,0.8976,0.302,65.94,68.74,0.0425
DS,INCLUDED,0.7393,0.2441,0.994156,0.672069,0.8347,0.698,0.8337,75.23,76.85,0.0215
GDM,INCLUDED,0.832,0.3273,0.752994,1.0,0.5153,0.79,0.7411,77.04,79.13,0.0271
KIMI,INCLUDED,0.769,0.025,0.811382,0.093373,0.172,0.707,0.3472,56.31,57.18,0.0155
MAI,INCLUDED,0.7493,0.1847,0.784719,0.337805,0.2495,0.7022,0.4444,59.91,61.26,0.0225
MIST,SHADOW,0.5593,0.1166,0.756594,0.461127,0.1723,0.5224,0.4452,49.15,49.6,0.0092
MM,INCLUDED,0.588,0.0,0.67399,0.248229,0.5326,0.539,0.4879,51.86,52.85,0.0191
OAI,INCLUDED,0.9291,0.2504,0.348028,0.873364,0.2609,0.8725,0.4795,71.53,73.76,0.0311
QWEN,INCLUDED,0.7547,1.0,0.873618,0.515478,0.2045,0.7751,0.5108,66.94,68.08,0.017
XAI,INCLUDED,0.8187,0.0,0.697352,0.008434,0.2079,0.7505,0.2985,56.97,57.9,0.0163
YI,SHADOW,0.7294,0.0,0.629884,0.008434,0.0295,0.6687,0.2106,48.54,48.76,0.0045
ZAI,INCLUDED,0.7424,0.0,0.799476,0.459392,0.5049,0.6805,0.5828,64.14,65.19,0.0163
