org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375097,0.420501,0.114,0.8976,0.2914,65.51,67.89,0.0363
DS,INCLUDED,0.739,0.3025,1.0,0.672069,0.9,0.7027,0.86,76.56,77.51,0.0124
GDM,INCLUDED,0.8777,0.3241,0.752272,1.0,0.3667,0.8315,0.6851,77.3,79.09,0.0232
KIMI,INCLUDED,0.8399,0.0557,0.807325,0.093373,0.1249,0.7745,0.3283,59.6,60.57,0.0162
MAI,INCLUDED,0.7746,0.1803,0.76505,0.337805,0.1578,0.7251,0.4038,59.66,60.63,0.0162
MIST,SHADOW,0.6202,0.208,0.742386,0.461127,0.1175,0.5858,0.4201,51.95,52.36,0.0078
MM,INCLUDED,0.6646,0.0,0.669744,0.248229,0.3651,0.6092,0.4238,53.5,54.38,0.0163
OAI,INCLUDED,0.8904,0.2845,0.347999,0.873364,0.2522,0.8399,0.4762,69.45,71.17,0.0249
QWEN,INCLUDED,0.7931,1.0,0.870952,0.515478,0.2031,0.8104,0.5094,69.0,69.79,0.0115
XAI,INCLUDED,0.9059,0.0,0.694931,0.008434,0.138,0.8304,0.2716,60.69,62.22,0.0253
YI,SHADOW,0.7294,0.0,0.627638,0.008434,0.0295,0.6686,0.2099,48.51,48.7,0.0038
ZAI,INCLUDED,0.8288,0.0,0.796565,0.459392,0.422,0.7597,0.5507,67.61,68.91,0.0192
