org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375281,0.420501,0.1413,0.8976,0.3017,65.92,68.87,0.0448
DS,INCLUDED,0.7394,0.4388,0.993875,0.672069,0.8318,0.7143,0.8325,76.16,78.1,0.0254
GDM,INCLUDED,0.7946,0.4802,0.753094,1.0,0.5067,0.7684,0.7378,75.62,77.78,0.0286
KIMI,INCLUDED,0.7211,0.0797,0.814997,0.093373,0.1832,0.6676,0.3526,54.16,55.04,0.0163
MAI,INCLUDED,0.7173,0.3839,0.787005,0.337805,0.2428,0.6896,0.4426,59.08,60.48,0.0237
MIST,SHADOW,0.4975,0.2518,0.766521,0.461127,0.1536,0.4771,0.4412,46.27,46.72,0.0097
MM,INCLUDED,0.5397,0.0,0.679794,0.248229,0.5222,0.4947,0.4858,49.12,50.11,0.0202
OAI,INCLUDED,0.9157,0.2829,0.348051,0.873364,0.2587,0.863,0.4787,70.93,72.91,0.0279
QWEN,INCLUDED,0.7549,1.0,0.873615,0.515478,0.3607,0.7753,0.5693,69.29,70.53,0.0179
XAI,INCLUDED,0.7664,0.0,0.697487,0.008434,0.2,0.7026,0.2956,53.98,54.9,0.0172
YI,SHADOW,0.7298,0.0,0.630818,0.008434,0.0295,0.669,0.2108,48.57,48.8,0.0047
ZAI,INCLUDED,0.7135,0.0,0.800521,0.459392,0.4991,0.654,0.5809,62.47,63.7,0.0196
