org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375143,0.420501,0.1154,0.8976,0.2919,65.53,68.08,0.039
DS,INCLUDED,0.7257,0.3025,0.995351,0.672069,0.9,0.6904,0.8586,75.77,76.78,0.0133
GDM,INCLUDED,0.8906,0.3241,0.754146,1.0,0.3643,0.8434,0.6848,77.99,79.93,0.0249
KIMI,INCLUDED,0.822,0.0557,0.809835,0.093373,0.1249,0.7581,0.3291,58.65,59.67,0.0174
MAI,INCLUDED,0.7594,0.1803,0.780271,0.337805,0.1578,0.7111,0.4086,59.01,60.04,0.0174
MIST,SHADOW,0.6106,0.208,0.745033,0.461127,0.1175,0.5771,0.421,51.46,51.9,0.0084
MM,INCLUDED,0.6505,0.0,0.672484,0.248229,0.3651,0.5963,0.4246,52.76,53.69,0.0175
OAI,INCLUDED,0.8733,0.2845,0.347999,0.873364,0.2522,0.8242,0.4762,68.5,70.46,0.0285
QWEN,INCLUDED,0.7785,1.0,0.873552,0.515478,0.1461,0.797,0.4889,67.37,68.21,0.0124
XAI,INCLUDED,0.8851,0.0,0.696613,0.008434,0.138,0.8113,0.2721,59.56,61.18,0.0271
YI,SHADOW,0.7294,0.0,0.628836,0.008434,0.0295,0.6687,0.2102,48.53,48.73,0.0041
ZAI,INCLUDED,0.8098,0.0,0.799029,0.459392,0.422,0.7423,0.5515,66.6,67.84,0.0186
