org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.37527,0.420501,0.1423,0.8976,0.302,65.94,68.85,0.0443
DS,INCLUDED,0.7393,0.4388,0.994083,0.672069,0.8347,0.7142,0.8337,76.2,78.12,0.0251
GDM,INCLUDED,0.7946,0.4802,0.752866,1.0,0.5091,0.7684,0.7387,75.65,77.79,0.0283
KIMI,INCLUDED,0.7213,0.0797,0.813316,0.093373,0.1838,0.6678,0.3523,54.16,55.03,0.0161
MAI,INCLUDED,0.7172,0.3839,0.786345,0.337805,0.2451,0.6894,0.4432,59.09,60.48,0.0234
MIST,SHADOW,0.4974,0.2518,0.764671,0.461127,0.1548,0.477,0.4411,46.26,46.71,0.0096
MM,INCLUDED,0.5397,0.0,0.678032,0.248229,0.525,0.4947,0.4863,49.13,50.11,0.0199
OAI,INCLUDED,0.9157,0.2829,0.348041,0.873364,0.2596,0.8629,0.4791,70.94,73.04,0.0297
QWEN,INCLUDED,0.7547,1.0,0.873632,0.515478,0.3235,0.7751,0.5554,68.72,69.94,0.0177
XAI,INCLUDED,0.7663,0.0,0.697003,0.008434,0.202,0.7024,0.2962,53.99,54.91,0.0169
YI,SHADOW,0.7294,0.0,0.630604,0.008434,0.0295,0.6687,0.2108,48.55,48.78,0.0047
ZAI,INCLUDED,0.713,0.0,0.800286,0.459392,0.5013,0.6536,0.5816,62.48,63.54,0.017
