org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375205,0.420501,0.1436,0.8976,0.3025,65.95,68.71,0.0419
DS,INCLUDED,0.7393,0.2441,0.994196,0.672069,0.8202,0.698,0.8283,75.01,76.6,0.0212
GDM,INCLUDED,0.832,0.3273,0.753171,1.0,0.5184,0.79,0.7423,77.09,79.15,0.0267
KIMI,INCLUDED,0.769,0.025,0.810867,0.093373,0.174,0.707,0.3478,56.33,57.19,0.0153
MAI,INCLUDED,0.7493,0.1847,0.784346,0.337805,0.2525,0.7022,0.4454,59.95,61.28,0.0222
MIST,SHADOW,0.5593,0.1166,0.752613,0.461127,0.1743,0.5224,0.4446,49.13,49.57,0.009
MM,INCLUDED,0.588,0.0,0.674102,0.248229,0.5363,0.539,0.4893,51.92,52.89,0.0188
OAI,INCLUDED,0.9291,0.2504,0.348022,0.873364,0.2621,0.8725,0.48,71.55,73.74,0.0307
QWEN,INCLUDED,0.7547,1.0,0.873598,0.515478,0.207,0.7751,0.5117,66.98,68.1,0.0167
XAI,INCLUDED,0.8187,0.0,0.697724,0.008434,0.2105,0.7505,0.2996,57.01,57.93,0.016
YI,SHADOW,0.7294,0.0,0.629798,0.008434,0.0295,0.6687,0.2105,48.54,48.76,0.0044
ZAI,INCLUDED,0.7424,0.0,0.799361,0.459392,0.5078,0.6805,0.5838,64.18,65.21,0.0161
