org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.37525,0.420501,0.1423,0.8976,0.302,65.94,68.78,0.0431
DS,INCLUDED,0.7393,0.4388,0.994156,0.672069,0.8347,0.7142,0.8337,76.2,78.07,0.0245
GDM,INCLUDED,0.7946,0.4802,0.752999,1.0,0.5091,0.7684,0.7387,75.65,77.73,0.0275
KIMI,INCLUDED,0.7213,0.0797,0.811395,0.093373,0.1661,0.6678,0.345,53.87,54.72,0.0157
MAI,INCLUDED,0.7172,0.3839,0.784733,0.337805,0.2451,0.6894,0.4427,59.07,60.42,0.0228
MIST,SHADOW,0.4974,0.2518,0.756594,0.461127,0.1548,0.477,0.4386,46.16,46.59,0.0093
MM,INCLUDED,0.5397,0.0,0.673985,0.248229,0.525,0.4947,0.4851,49.08,50.04,0.0194
OAI,INCLUDED,0.9157,0.2829,0.348029,0.873364,0.2596,0.8629,0.479,70.94,72.99,0.0289
QWEN,INCLUDED,0.7547,1.0,0.873619,0.515478,0.3235,0.7751,0.5554,68.72,69.91,0.0172
XAI,INCLUDED,0.7663,0.0,0.697351,0.008434,0.202,0.7024,0.2963,54.0,54.89,0.0165
YI,SHADOW,0.7294,0.0,0.629884,0.008434,0.0295,0.6687,0.2106,48.54,48.76,0.0046
ZAI,INCLUDED,0.713,0.0,0.799476,0.459392,0.5013,0.6536,0.5814,62.47,63.51,0.0165
