org,membership,cap,edge,dev,academic,market,capability_merged,ecosystem_merged,fa_raw,fa_adj,d_pct
ANTH,INCLUDED,0.9792,0.0,0.375125,0.420501,0.1154,0.8976,0.2919,65.53,68.03,0.0381
DS,INCLUDED,0.7257,0.3025,0.998549,0.672069,0.9,0.6904,0.8596,75.81,76.79,0.013
GDM,INCLUDED,0.8741,0.3241,0.754415,1.0,0.4141,0.8283,0.7035,77.84,79.73,0.0243
KIMI,INCLUDED,0.822,0.0557,0.809796,0.093373,0.1249,0.7581,0.3291,58.65,59.65,0.017
MAI,INCLUDED,0.7593,0.1803,0.776127,0.337805,0.1578,0.7111,0.4073,58.95,59.96,0.017
MIST,SHADOW,0.6106,0.208,0.744768,0.461127,0.1175,0.5771,0.4209,51.46,51.88,0.0082
MM,INCLUDED,0.6504,0.0,0.672129,0.248229,0.3651,0.5962,0.4245,52.75,53.66,0.0172
OAI,INCLUDED,0.8732,0.2845,0.347999,0.873364,0.2522,0.8241,0.4762,68.5,70.41,0.0279
QWEN,INCLUDED,0.7785,1.0,0.873545,0.515478,0.1461,0.7969,0.4889,67.37,68.19,0.0121
XAI,INCLUDED,0.885,0.0,0.696324,0.008434,0.138,0.8113,0.272,59.56,61.14,0.0266
YI,SHADOW,0.7294,0.0,0.628547,0.008434,0.0295,0.6686,0.2101,48.52,48.72,0.004
ZAI,INCLUDED,0.8098,0.0,0.799341,0.459392,0.422,0.7423,0.5516,66.6,67.81,0.0182
